Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"03/01/2021","16 BURLEIGH COURT, BURLINGTON ROAD, DUBLIN 4","Dublin 4","Dublin","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","1 CASTLEGAL CROSS, CLIFFONEY, CO. SLIGO","","Sligo","€148,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","1 PLAZA  VIEW, FAIR GREEN, MALLOW","","Cork","€158,590.30","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","1 THE BIRCHES, TUAM, CO GALWAY","","Galway","€153,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","11 RIVERVISTA, OUGHTERARD, GALWAY","","Galway","€91,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","12 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, BALLYMUN","Dublin 11","Dublin","€192,951.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","13 ARDSALLAGH WOODS, ROSCOMMON, ROSCOMMON","","Roscommon","€237,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","14 Oak Park Square, Oak Park, Craddockstown","","Kildare","€290,748.88","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","16 COIS TEAMPAILL, FOYNES ROAD, NEWCASTLE WEST","","Limerick","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","17 Belltree Lane, Beltree, Clonggriffin","","Dublin","€343,612.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","19 EFFERNOCK MANOR, DUBLIN RD, TRIM","","Meath","€361,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","19A CLIONA PARK, MOYROSS, CO LIMERICK","","Limerick","€175,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","2 BRODAGH VIEW, CRUSHEEN, CLARE","","Clare","€176,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","2 MARINO ST, BANTRY, CORK","","Cork","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","2 St Judes, Heynestown, Old Dublin Road","","Louth","€339,207.05","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","20 SAUNDERS COURT, MULLINGAR, WESTMEATH","","Westmeath","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","20b Oakfield Manor, Tullaghan","","Leitrim","€65,000.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2021","25 BLESSINGTON ORCHARD, BLESSINGTON, WICKLOW","","Wicklow","€276,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","25 CUIL AN ATH, BARNA, GALWAY","","Galway","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","25 MARINEGATE, BELMONT, COBH","","Cork","€222,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2021","27 Beresford Avenue, Donabate, County Dublin","","Dublin","€345,132.75","No","Yes","New Dwelling house /Apartment",""
